t,i0,i1,i2,i3,i4,i5,i6,i7
427,232,0,0,0,0,0,0,0
428,233,0,0,0,0,0,0,0
429,233,0,0,0,0,0,0,0
430,234,0,0,0,0,0,0,0
431,234,0,0,0,0,0,0,0
432,235,0,0,0,0,0,0,0
433,235,0,0,0,0,0,0,0
434,236,0,0,0,0,0,0,0
435,236,0,0,0,0,0,0,0
436,237,0,0,0,0,0,0,0
437,237,0,0,0,0,0,0,0
438,238,0,0,0,0,0,0,0
439,238,0,0,0,0,0,0,0
440,239,0,0,0,0,0,0,0
441,239,0,0,0,0,0,0,0
442,240,0,0,0,0,0,0,0
443,240,0,0,0,0,0,0,0
444,241,0,0,0,0,0,0,0
445,241,0,0,0,0,0,0,0
446,242,0,0,0,0,0,0,0
447,242,0,0,0,0,0,0,0
448,243,0,0,0,0,0,0,0
449,243,0,0,0,0,0,0,0
450,244,0,0,0,0,0,0,0
451,244,0,0,0,0,0,0,0
452,245,0,0,0,0,0,0,0
453,245,0,0,0,0,0,0,0
454,246,0,0,0,0,0,0,0
455,246,0,0,0,0,0,0,0
456,247,0,0,0,0,0,0,0
457,247,0,0,0,0,0,0,0
458,248,0,0,0,0,0,0,0
459,248,0,0,0,0,0,0,0
460,249,0,0,0,0,0,0,0
461,249,0,0,0,0,0,0,0
462,250,0,0,0,0,0,0,0
463,250,0,0,0,0,0,0,0
464,251,0,0,0,0,0,0,0
465,251,0,0,0,0,0,0,0
466,252,0,0,0,0,0,0,0
467,252,0,0,0,0,0,0,0
468,253,0,0,0,0,0,0,0
469,253,0,0,0,0,0,0,0
470,254,0,0,0,0,0,0,0
471,254,0,0,0,0,0,0,0
472,255,0,0,0,0,0,0,0
473,255,0,0,0,0,0,0,0
474,256,0,0,0,0,0,0,0
475,256,0,0,0,0,0,0,0
476,257,0,0,0,0,0,0,0
477,257,0,0,0,0,0,0,0
478,258,0,0,0,0,0,0,0
479,258,0,0,0,0,0,0,0
480,259,0,0,0,0,0,0,0
481,259,0,0,0,0,0,0,0
482,260,0,0,0,0,0,0,0
483,260,0,0,0,0,0,0,0
484,261,0,0,0,0,0,0,0
485,261,0,0,0,0,0,0,0
486,262,0,0,0,0,0,0,0
487,262,0,0,0,0,0,0,0
488,263,0,0,0,0,0,0,0
489,263,0,0,0,0,0,0,0
490,264,0,0,0,0,0,0,0
491,264,0,0,0,0,0,0,0
492,265,0,0,0,0,0,0,0
493,265,0,0,0,0,0,0,0
494,266,0,0,0,0,0,0,0
495,266,0,0,0,0,0,0,0
496,267,0,0,0,0,0,0,0
497,267,0,0,0,0,0,0,0
498,268,0,0,0,0,0,0,0
499,268,0,0,0,0,0,0,0
500,269,0,0,0,0,0,0,0
501,269,0,0,0,0,0,0,0
502,270,0,0,0,0,0,0,0
503,270,0,0,0,0,0,0,0
504,271,0,0,0,0,0,0,0
505,271,0,0,0,0,0,0,0
506,272,0,0,0,0,0,0,0
507,272,0,0,0,0,0,0,0
508,273,0,0,0,0,0,0,0
509,273,0,0,0,0,0,0,0
510,274,0,0,0,0,0,0,0
511,274,0,0,0,0,0,0,0
512,275,0,0,0,0,0,0,0
513,275,0,0,0,0,0,0,0
514,276,0,0,0,0,0,0,0
515,276,0,0,0,0,0,0,0
516,277,0,0,0,0,0,0,0
517,277,0,0,0,0,0,0,0
518,278,0,0,0,0,0,0,0
519,278,0,0,0,0,0,0,0
520,279,0,0,0,0,0,0,0
521,279,0,0,0,0,0,0,0
522,280,0,0,0,0,0,0,0
523,280,0,0,0,0,0,0,0
524,281,0,0,0,0,0,0,0
525,281,0,0,0,0,0,0,0
526,282,0,0,0,0,0,0,0
527,282,0,0,0,0,0,0,0
528,283,0,0,0,0,0,0,0
529,283,0,0,0,0,0,0,0
530,284,0,0,0,0,0,0,0
531,284,0,0,0,0,0,0,0
532,285,0,0,0,0,0,0,0
533,285,0,0,0,0,0,0,0
534,286,0,0,0,0,0,0,0
535,286,0,0,0,0,0,0,0
536,287,0,0,0,0,0,0,0
537,287,0,0,0,0,0,0,0
538,288,0,0,0,0,0,0,0
539,288,0,0,0,0,0,0,0
540,289,0,0,0,0,0,0,0
541,289,0,0,0,0,0,0,0
542,290,0,0,0,0,0,0,0
543,290,0,0,0,0,0,0,0
544,291,0,0,0,0,0,0,0
545,291,0,0,0,0,0,0,0
546,292,0,0,0,0,0,0,0
547,292,0,0,0,0,0,0,0
548,293,0,0,0,0,0,0,0
549,293,0,0,0,0,0,0,0
550,294,0,0,0,0,0,0,0
551,294,0,0,0,0,0,0,0
552,295,0,0,0,0,0,0,0
553,295,0,0,0,0,0,0,0
554,296,0,0,0,0,0,0,0
555,296,0,0,0,0,0,0,0
556,297,0,0,0,0,0,0,0
557,297,0,0,0,0,0,0,0
558,298,0,0,0,0,0,0,0
559,298,0,0,0,0,0,0,0
560,299,0,0,0,0,0,0,0
561,299,0,0,0,0,0,0,0
562,300,0,0,0,0,0,0,0
563,300,0,0,0,0,0,0,0
564,301,0,0,0,0,0,0,0
565,301,0,0,0,0,0,0,0
566,302,0,0,0,0,0,0,0
567,302,0,0,0,0,0,0,0
568,303,0,0,0,0,0,0,0
569,303,0,0,0,0,0,0,0
570,304,0,0,0,0,0,0,0
571,304,0,0,0,0,0,0,0
572,305,0,0,0,0,0,0,0
573,305,0,0,0,0,0,0,0
574,306,0,0,0,0,0,0,0
575,306,0,0,0,0,0,0,0
576,307,0,0,0,0,0,0,0
577,307,0,0,0,0,0,0,0
578,308,0,0,0,0,0,0,0
