t,i,dest_port,size
1984,7,-1,-1
1985,0,0,160
1985,1,0,160
1985,2,-1,-1
1985,3,-1,-1
1985,4,-1,-1
1985,5,-1,-1
1985,6,-1,-1
1985,7,-1,-1
1986,0,0,160
1986,1,0,160
1986,2,-1,-1
1986,3,-1,-1
1986,4,-1,-1
1986,5,-1,-1
1986,6,-1,-1
1986,7,-1,-1
1987,0,0,160
1987,1,0,160
1987,2,-1,-1
1987,3,-1,-1
1987,4,-1,-1
1987,5,-1,-1
1987,6,-1,-1
1987,7,-1,-1
1988,0,0,160
1988,1,0,160
1988,2,-1,-1
1988,3,-1,-1
1988,4,-1,-1
1988,5,-1,-1
1988,6,-1,-1
1988,7,-1,-1
1989,0,0,160
1989,1,0,160
1989,2,-1,-1
1989,3,-1,-1
1989,4,-1,-1
1989,5,-1,-1
1989,6,-1,-1
1989,7,-1,-1
1990,0,0,160
1990,1,0,160
1990,2,-1,-1
1990,3,-1,-1
1990,4,-1,-1
1990,5,-1,-1
1990,6,-1,-1
1990,7,-1,-1
1991,0,0,160
1991,1,0,160
1991,2,-1,-1
1991,3,-1,-1
1991,4,-1,-1
1991,5,-1,-1
1991,6,-1,-1
1991,7,-1,-1
1992,0,0,160
1992,1,0,160
1992,2,-1,-1
1992,3,-1,-1
1992,4,-1,-1
1992,5,-1,-1
1992,6,-1,-1
1992,7,-1,-1
1993,0,0,160
1993,1,0,160
1993,2,-1,-1
1993,3,-1,-1
1993,4,-1,-1
1993,5,-1,-1
1993,6,-1,-1
1993,7,-1,-1
1994,0,0,160
1994,1,0,160
1994,2,-1,-1
1994,3,-1,-1
1994,4,-1,-1
1994,5,-1,-1
1994,6,-1,-1
1994,7,-1,-1
1995,0,0,160
1995,1,0,160
1995,2,-1,-1
1995,3,-1,-1
1995,4,-1,-1
1995,5,-1,-1
1995,6,-1,-1
1995,7,-1,-1
1996,0,0,160
1996,1,0,160
1996,2,-1,-1
1996,3,-1,-1
1996,4,-1,-1
1996,5,-1,-1
1996,6,-1,-1
1996,7,-1,-1
1997,0,0,160
1997,1,0,160
1997,2,-1,-1
1997,3,-1,-1
1997,4,-1,-1
1997,5,-1,-1
1997,6,-1,-1
1997,7,-1,-1
1998,0,0,160
1998,1,0,160
1998,2,-1,-1
1998,3,-1,-1
1998,4,-1,-1
1998,5,-1,-1
1998,6,-1,-1
1998,7,-1,-1
1999,0,0,160
1999,1,0,160
1999,2,-1,-1
1999,3,-1,-1
1999,4,-1,-1
1999,5,-1,-1
1999,6,-1,-1
1999,7,-1,-1
2000,0,0,160
2000,1,0,160
2000,2,-1,-1
2000,3,-1,-1
2000,4,-1,-1
2000,5,-1,-1
2000,6,-1,-1
2000,7,-1,-1
2001,0,0,160
2001,1,0,160
2001,2,-1,-1
2001,3,-1,-1
2001,4,-1,-1
2001,5,-1,-1
2001,6,-1,-1
2001,7,-1,-1
2002,0,0,160
2002,1,0,160
2002,2,-1,-1
2002,3,-1,-1
2002,4,-1,-1
2002,5,-1,-1
2002,6,-1,-1
2002,7,-1,-1
2003,0,0,160
2003,1,0,160
2003,2,-1,-1
2003,3,-1,-1
2003,4,-1,-1
2003,5,-1,-1
2003,6,-1,-1
2003,7,-1,-1
2004,0,0,160
2004,1,0,160
2004,2,-1,-1
2004,3,-1,-1
2004,4,-1,-1
2004,5,-1,-1
2004,6,-1,-1
2004,7,-1,-1
2005,0,0,160
2005,1,0,160
2005,2,-1,-1
2005,3,-1,-1
2005,4,-1,-1
2005,5,-1,-1
2005,6,-1,-1
2005,7,-1,-1
2006,0,0,160
2006,1,0,160
2006,2,-1,-1
2006,3,-1,-1
2006,4,-1,-1
2006,5,-1,-1
2006,6,-1,-1
2006,7,-1,-1
2007,0,0,160
2007,1,0,160
2007,2,-1,-1
2007,3,-1,-1
2007,4,-1,-1
2007,5,-1,-1
2007,6,-1,-1
2007,7,-1,-1
2008,0,0,160
2008,1,0,160
2008,2,-1,-1
2008,3,-1,-1
2008,4,-1,-1
2008,5,-1,-1
2008,6,-1,-1
2008,7,-1,-1
2009,0,0,160
2009,1,0,160
2009,2,-1,-1
2009,3,-1,-1
2009,4,-1,-1
2009,5,-1,-1
2009,6,-1,-1
2009,7,-1,-1
2010,0,0,160
2010,1,0,160
2010,2,-1,-1
2010,3,-1,-1
2010,4,-1,-1
2010,5,-1,-1
2010,6,-1,-1
2010,7,-1,-1
2011,0,0,160
2011,1,0,160
2011,2,-1,-1
2011,3,-1,-1
2011,4,-1,-1
2011,5,-1,-1
2011,6,-1,-1
2011,7,-1,-1
2012,0,0,160
2012,1,0,160
2012,2,-1,-1
2012,3,-1,-1
2012,4,-1,-1
2012,5,-1,-1
2012,6,-1,-1
2012,7,-1,-1
2013,0,0,160
2013,1,0,160
2013,2,-1,-1
2013,3,-1,-1
2013,4,-1,-1
2013,5,-1,-1
2013,6,-1,-1
2013,7,-1,-1
2014,0,0,160
2014,1,0,160
2014,2,-1,-1
2014,3,-1,-1
2014,4,-1,-1
2014,5,-1,-1
2014,6,-1,-1
2014,7,-1,-1
2015,0,0,160
2015,1,0,160
2015,2,-1,-1
2015,3,-1,-1
2015,4,-1,-1
2015,5,-1,-1
2015,6,-1,-1
2015,7,-1,-1
2016,0,0,160
2016,1,0,160
2016,2,-1,-1
2016,3,-1,-1
2016,4,-1,-1
2016,5,-1,-1
2016,6,-1,-1
2016,7,-1,-1
2017,0,0,160
2017,1,0,160
2017,2,-1,-1
2017,3,-1,-1
2017,4,-1,-1
2017,5,-1,-1
2017,6,-1,-1
2017,7,-1,-1
2018,0,0,160
2018,1,0,160
2018,2,-1,-1
2018,3,-1,-1
2018,4,-1,-1
2018,5,-1,-1
2018,6,-1,-1
2018,7,-1,-1
2019,0,0,160
2019,1,0,160
2019,2,-1,-1
2019,3,-1,-1
2019,4,-1,-1
2019,5,-1,-1
2019,6,-1,-1
2019,7,-1,-1
2020,0,0,160
2020,1,0,160
2020,2,-1,-1
2020,3,-1,-1
2020,4,-1,-1
2020,5,-1,-1
2020,6,-1,-1
